signal,variant,metric,slab_lo,slab_hi,n_models_inside,models_inside,Local receptive field,Global attention,Decomposition,Linear and MLP,Probabilistic,Floor,top_minus_bottom
Drift_Harmonic,with_Autoformer,phase,0.003466633781790733,0.10515426866710187,7,DLinear;MICN_Mean;MICN_Regre;MLinear;ModernTCN;PatchTST;Transformer,1.600504995145494,2.722264221118244,51.01074770725371,1.9627189472318929,,,49.410242712108214
Drift_Harmonic,with_Autoformer,freq,0.003466633781790733,0.10515426866710187,7,DLinear;MICN_Mean;MICN_Regre;MLinear;ModernTCN;PatchTST;Transformer,0.00023456909044537733,0.0002221717621659347,0.03740543639974425,0.0002692450273181768,,,0.03718326463757832
Drift_Harmonic,without_Autoformer,phase,0.003182790137827396,0.04809661643207075,6,MICN_Mean;MICN_Regre;MLinear;ModernTCN;PatchTST;Transformer,1.600504995145494,2.722264221118244,,1.9627189472318929,,,1.1217592259727502
Drift_Harmonic,without_Autoformer,freq,0.003182790137827396,0.04809661643207075,6,MICN_Mean;MICN_Regre;MLinear;ModernTCN;PatchTST;Transformer,0.00023456909044537733,0.0002221717621659347,,0.0002692450273181768,,,4.707326515224208e-05
Single_Phase_Modulation,with_Autoformer,phase,0.010862704142928123,0.0643473306670785,7,DLinear;FITS;FreMLP;MICN_Regre;ModernTCN;PatchTST;Transformer,6.774247455242535,60.91045514837259,39.81075556313173,,,,54.13620769313005
Single_Phase_Modulation,with_Autoformer,freq,0.010862704142928123,0.0643473306670785,7,DLinear;FITS;FreMLP;MICN_Regre;ModernTCN;PatchTST;Transformer,0.0003330466092087425,0.03138473169203648,0.013077424043286065,,,,0.03105168508282774
Single_Phase_Modulation,without_Autoformer,phase,0.010855837464332581,0.06025684554129839,6,DLinear;FITS;FreMLP;MICN_Regre;ModernTCN;PatchTST,6.774247455242535,,39.81075556313173,,,,33.03650810788919
Single_Phase_Modulation,without_Autoformer,freq,0.010855837464332581,0.06025684554129839,6,DLinear;FITS;FreMLP;MICN_Regre;ModernTCN;PatchTST,0.0003330466092087425,,0.013077424043286065,,,,0.012744377434077322
Dual_Phase_Modulation,with_Autoformer,phase,0.019540120346937327,0.0811548942612717,7,DLinear;FITS;FreMLP;MLinear;ModernTCN;NBeats;PatchTST,9.743081509928583,,63.74188913094384,56.673289730484754,,,53.99880762101526
Dual_Phase_Modulation,with_Autoformer,freq,0.019540120346937327,0.0811548942612717,7,DLinear;FITS;FreMLP;MLinear;ModernTCN;NBeats;PatchTST,0.0017115466145479485,,0.046209850820702836,0.04305293321237069,,,0.04449830420615489
Dual_Phase_Modulation,without_Autoformer,phase,0.018180765526369214,0.08009952498052736,6,DLinear;FreMLP;MLinear;ModernTCN;NBeats;PatchTST,9.743081509928583,,64.08955108648185,56.673289730484754,,,54.34646957655326
Dual_Phase_Modulation,without_Autoformer,freq,0.018180765526369214,0.08009952498052736,6,DLinear;FreMLP;MLinear;ModernTCN;NBeats;PatchTST,0.0017115466145479485,,0.041248278012266465,0.04305293321237069,,,0.041341386597822743
