signal,model,bin,n
Dual_Phase_Modulation,PatchTST,"[0.05, 0.1)",1
Dual_Phase_Modulation,PatchTST,"[0.1, 0.2)",6901
Dual_Phase_Modulation,PatchTST,"[0.2, inf)",50058
Dual_Phase_Modulation,Transformer,"[0.0, 0.05)",0
Dual_Phase_Modulation,Transformer,"[0.05, 0.1)",0
Dual_Phase_Modulation,Transformer,"[0.1, 0.2)",0
Dual_Phase_Modulation,Transformer,"[0.2, inf)",56960
Single_Phase_Modulation,Autoformer,"[0.0, 0.05)",0
Single_Phase_Modulation,Autoformer,"[0.05, 0.1)",0
Single_Phase_Modulation,Autoformer,"[0.1, 0.2)",0
Single_Phase_Modulation,Autoformer,"[0.2, inf)",56960
Single_Phase_Modulation,DLinear,"[0.0, 0.05)",0
Single_Phase_Modulation,DLinear,"[0.05, 0.1)",0
Single_Phase_Modulation,DLinear,"[0.1, 0.2)",0
Single_Phase_Modulation,DLinear,"[0.2, inf)",56960
Single_Phase_Modulation,FITS,"[0.0, 0.05)",0
Single_Phase_Modulation,FITS,"[0.05, 0.1)",0
Single_Phase_Modulation,FITS,"[0.1, 0.2)",0
Single_Phase_Modulation,FITS,"[0.2, inf)",56960
Single_Phase_Modulation,FreMLP,"[0.0, 0.05)",0
Single_Phase_Modulation,FreMLP,"[0.05, 0.1)",51
Single_Phase_Modulation,FreMLP,"[0.1, 0.2)",12049
Single_Phase_Modulation,FreMLP,"[0.2, inf)",44860
Single_Phase_Modulation,Linear,"[0.0, 0.05)",0
Single_Phase_Modulation,Linear,"[0.05, 0.1)",0
Single_Phase_Modulation,Linear,"[0.1, 0.2)",0
Single_Phase_Modulation,Linear,"[0.2, inf)",56960
Single_Phase_Modulation,MICN_Mean,"[0.0, 0.05)",30
Single_Phase_Modulation,MICN_Mean,"[0.05, 0.1)",15757
Single_Phase_Modulation,MICN_Mean,"[0.1, 0.2)",24888
Single_Phase_Modulation,MICN_Mean,"[0.2, inf)",16285
Single_Phase_Modulation,MICN_Regre,"[0.0, 0.05)",0
Single_Phase_Modulation,MICN_Regre,"[0.05, 0.1)",12281
Single_Phase_Modulation,MICN_Regre,"[0.1, 0.2)",28980
Single_Phase_Modulation,MICN_Regre,"[0.2, inf)",15699
Single_Phase_Modulation,MLinear,"[0.0, 0.05)",0
Single_Phase_Modulation,MLinear,"[0.05, 0.1)",0
Single_Phase_Modulation,MLinear,"[0.1, 0.2)",0
Single_Phase_Modulation,MLinear,"[0.2, inf)",56960
Single_Phase_Modulation,ModernTCN,"[0.0, 0.05)",111
Single_Phase_Modulation,ModernTCN,"[0.05, 0.1)",13001
Single_Phase_Modulation,ModernTCN,"[0.1, 0.2)",25002
Single_Phase_Modulation,ModernTCN,"[0.2, inf)",18846
Single_Phase_Modulation,NBeats,"[0.0, 0.05)",36
Single_Phase_Modulation,NBeats,"[0.05, 0.1)",13982
Single_Phase_Modulation,NBeats,"[0.1, 0.2)",29356
Single_Phase_Modulation,NBeats,"[0.2, inf)",13586
Single_Phase_Modulation,PatchTST,"[0.0, 0.05)",0
Single_Phase_Modulation,PatchTST,"[0.05, 0.1)",0
Single_Phase_Modulation,PatchTST,"[0.1, 0.2)",6451
Single_Phase_Modulation,PatchTST,"[0.2, inf)",50509
Single_Phase_Modulation,Transformer,"[0.0, 0.05)",0
Single_Phase_Modulation,Transformer,"[0.05, 0.1)",0
Single_Phase_Modulation,Transformer,"[0.1, 0.2)",0
Single_Phase_Modulation,Transformer,"[0.2, inf)",56960
