idx	model	paradigm	condition	signal	seed	out
10	DLinear	real_ppg_B		DaLiA	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/DLinear/seed2022/pred.npy
11	DLinear	real_ppg_B		DaLiA	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/DLinear/seed2023/pred.npy
12	FITS	real_ppg_B		BIDMC	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/FITS/seed2021/pred.npy
13	FITS	real_ppg_B		BIDMC	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/FITS/seed2022/pred.npy
14	FITS	real_ppg_B		BIDMC	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/FITS/seed2023/pred.npy
15	FITS	real_ppg_B		DaLiA	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/FITS/seed2021/pred.npy
16	FITS	real_ppg_B		DaLiA	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/FITS/seed2022/pred.npy
17	FITS	real_ppg_B		DaLiA	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/FITS/seed2023/pred.npy
18	MLinear	real_ppg_B		BIDMC	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/MLinear/seed2021/pred.npy
19	MLinear	real_ppg_B		BIDMC	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/MLinear/seed2022/pred.npy
20	MLinear	real_ppg_B		BIDMC	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/MLinear/seed2023/pred.npy
21	MLinear	real_ppg_B		DaLiA	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/MLinear/seed2021/pred.npy
22	MLinear	real_ppg_B		DaLiA	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/MLinear/seed2022/pred.npy
23	MLinear	real_ppg_B		DaLiA	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/MLinear/seed2023/pred.npy
24	NBeats	real_ppg_B		BIDMC	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/NBeats/seed2021/pred.npy
25	NBeats	real_ppg_B		BIDMC	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/NBeats/seed2022/pred.npy
26	NBeats	real_ppg_B		BIDMC	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/NBeats/seed2023/pred.npy
27	NBeats	real_ppg_B		DaLiA	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/NBeats/seed2021/pred.npy
28	NBeats	real_ppg_B		DaLiA	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/NBeats/seed2022/pred.npy
29	NBeats	real_ppg_B		DaLiA	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/NBeats/seed2023/pred.npy
30	FreMLP	real_ppg_B		BIDMC	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/FreMLP/seed2021/pred.npy
31	FreMLP	real_ppg_B		BIDMC	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/FreMLP/seed2022/pred.npy
32	FreMLP	real_ppg_B		BIDMC	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/FreMLP/seed2023/pred.npy
33	FreMLP	real_ppg_B		DaLiA	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/FreMLP/seed2021/pred.npy
34	FreMLP	real_ppg_B		DaLiA	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/FreMLP/seed2022/pred.npy
35	FreMLP	real_ppg_B		DaLiA	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/FreMLP/seed2023/pred.npy
36	MICN_Mean	real_ppg_B		BIDMC	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/MICN_Mean/seed2021/pred.npy
37	MICN_Mean	real_ppg_B		BIDMC	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/MICN_Mean/seed2022/pred.npy
38	MICN_Mean	real_ppg_B		BIDMC	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/MICN_Mean/seed2023/pred.npy
39	MICN_Mean	real_ppg_B		DaLiA	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/MICN_Mean/seed2021/pred.npy
40	MICN_Mean	real_ppg_B		DaLiA	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/MICN_Mean/seed2022/pred.npy
41	MICN_Mean	real_ppg_B		DaLiA	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/MICN_Mean/seed2023/pred.npy
42	MICN_Regre	real_ppg_B		BIDMC	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/MICN_Regre/seed2021/pred.npy
43	MICN_Regre	real_ppg_B		BIDMC	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/MICN_Regre/seed2022/pred.npy
44	MICN_Regre	real_ppg_B		BIDMC	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/MICN_Regre/seed2023/pred.npy
45	MICN_Regre	real_ppg_B		DaLiA	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/MICN_Regre/seed2021/pred.npy
46	MICN_Regre	real_ppg_B		DaLiA	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/MICN_Regre/seed2022/pred.npy
47	MICN_Regre	real_ppg_B		DaLiA	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/MICN_Regre/seed2023/pred.npy
48	ModernTCN	real_ppg_B		BIDMC	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/ModernTCN/seed2021/pred.npy
49	ModernTCN	real_ppg_B		BIDMC	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/ModernTCN/seed2022/pred.npy
50	ModernTCN	real_ppg_B		BIDMC	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/ModernTCN/seed2023/pred.npy
51	ModernTCN	real_ppg_B		DaLiA	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/ModernTCN/seed2021/pred.npy
