idx	model	paradigm	condition	signal	seed	out
27	PatchTST	tier2_ecg		ECG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/PatchTST/seed2021/pred.npy
28	PatchTST	tier2_ecg		ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/PatchTST/seed2022/pred.npy
29	PatchTST	tier2_ecg		ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/PatchTST/seed2023/pred.npy
30	Transformer	tier2_ecg		ECG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/Transformer/seed2021/pred.npy
31	Transformer	tier2_ecg		ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/Transformer/seed2022/pred.npy
32	Transformer	tier2_ecg		ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/Transformer/seed2023/pred.npy
33	Autoformer	tier2_ecg		ECG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/Autoformer/seed2021/pred.npy
34	Autoformer	tier2_ecg		ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/Autoformer/seed2022/pred.npy
35	Autoformer	tier2_ecg		ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/Autoformer/seed2023/pred.npy
36	TimesNet	tier2_ecg		ECG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/TimesNet/seed2021/pred.npy
37	TimesNet	tier2_ecg		ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/TimesNet/seed2022/pred.npy
38	TimesNet	tier2_ecg		ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/TimesNet/seed2023/pred.npy
39	TSMixer	tier2_ecg		ECG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/TSMixer/seed2021/pred.npy
40	TSMixer	tier2_ecg		ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/TSMixer/seed2022/pred.npy
41	TSMixer	tier2_ecg		ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/TSMixer/seed2023/pred.npy
42	SeasonalNaive	tier2_ecg		ECG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/SeasonalNaive/seed2021/pred.npy
43	SeasonalNaive	tier2_ecg		ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/SeasonalNaive/seed2022/pred.npy
44	SeasonalNaive	tier2_ecg		ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg/ECG/SeasonalNaive/seed2023/pred.npy
45	Linear	tier2_ppg		PPG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/Linear/seed2021/pred.npy
46	Linear	tier2_ppg		PPG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/Linear/seed2022/pred.npy
47	Linear	tier2_ppg		PPG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/Linear/seed2023/pred.npy
48	DLinear	tier2_ppg		PPG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/DLinear/seed2021/pred.npy
49	DLinear	tier2_ppg		PPG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/DLinear/seed2022/pred.npy
50	DLinear	tier2_ppg		PPG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/DLinear/seed2023/pred.npy
51	FITS	tier2_ppg		PPG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/FITS/seed2021/pred.npy
52	FITS	tier2_ppg		PPG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/FITS/seed2022/pred.npy
53	FITS	tier2_ppg		PPG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/FITS/seed2023/pred.npy
54	MLinear	tier2_ppg		PPG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/MLinear/seed2021/pred.npy
55	MLinear	tier2_ppg		PPG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/MLinear/seed2022/pred.npy
56	MLinear	tier2_ppg		PPG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/MLinear/seed2023/pred.npy
57	NBeats	tier2_ppg		PPG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/NBeats/seed2021/pred.npy
58	NBeats	tier2_ppg		PPG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/NBeats/seed2022/pred.npy
59	NBeats	tier2_ppg		PPG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/NBeats/seed2023/pred.npy
60	FreMLP	tier2_ppg		PPG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/FreMLP/seed2021/pred.npy
61	FreMLP	tier2_ppg		PPG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/FreMLP/seed2022/pred.npy
62	FreMLP	tier2_ppg		PPG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/FreMLP/seed2023/pred.npy
63	MICN_Mean	tier2_ppg		PPG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/MICN_Mean/seed2021/pred.npy
64	MICN_Mean	tier2_ppg		PPG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/MICN_Mean/seed2022/pred.npy
65	MICN_Mean	tier2_ppg		PPG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/MICN_Mean/seed2023/pred.npy
66	MICN_Regre	tier2_ppg		PPG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/MICN_Regre/seed2021/pred.npy
67	MICN_Regre	tier2_ppg		PPG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/MICN_Regre/seed2022/pred.npy
68	MICN_Regre	tier2_ppg		PPG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/MICN_Regre/seed2023/pred.npy
69	ModernTCN	tier2_ppg		PPG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/ModernTCN/seed2021/pred.npy
