idx	model	paradigm	condition	signal	seed	out
25	DLinear	tier2_ecg	SNR_2	ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_2/ECG/DLinear/seed2022/pred.npy
26	DLinear	tier2_ecg	SNR_3	ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_3/ECG/DLinear/seed2022/pred.npy
27	DLinear	tier2_ecg	SNR_4	ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_4/ECG/DLinear/seed2022/pred.npy
28	DLinear	tier2_ecg	SNR_5	ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_5/ECG/DLinear/seed2022/pred.npy
29	DLinear	tier2_ecg	SNR_6	ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_6/ECG/DLinear/seed2022/pred.npy
30	DLinear	tier2_ecg	SNR_1	ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_1/ECG/DLinear/seed2023/pred.npy
31	DLinear	tier2_ecg	SNR_2	ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_2/ECG/DLinear/seed2023/pred.npy
32	DLinear	tier2_ecg	SNR_3	ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_3/ECG/DLinear/seed2023/pred.npy
33	DLinear	tier2_ecg	SNR_4	ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_4/ECG/DLinear/seed2023/pred.npy
34	DLinear	tier2_ecg	SNR_5	ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_5/ECG/DLinear/seed2023/pred.npy
35	DLinear	tier2_ecg	SNR_6	ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_6/ECG/DLinear/seed2023/pred.npy
36	FITS	tier2_ecg	SNR_1	ECG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_1/ECG/FITS/seed2021/pred.npy
37	FITS	tier2_ecg	SNR_2	ECG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_2/ECG/FITS/seed2021/pred.npy
38	FITS	tier2_ecg	SNR_3	ECG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_3/ECG/FITS/seed2021/pred.npy
39	FITS	tier2_ecg	SNR_4	ECG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_4/ECG/FITS/seed2021/pred.npy
40	FITS	tier2_ecg	SNR_5	ECG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_5/ECG/FITS/seed2021/pred.npy
41	FITS	tier2_ecg	SNR_6	ECG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_6/ECG/FITS/seed2021/pred.npy
42	FITS	tier2_ecg	SNR_1	ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_1/ECG/FITS/seed2022/pred.npy
43	FITS	tier2_ecg	SNR_2	ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_2/ECG/FITS/seed2022/pred.npy
44	FITS	tier2_ecg	SNR_3	ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_3/ECG/FITS/seed2022/pred.npy
45	FITS	tier2_ecg	SNR_4	ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_4/ECG/FITS/seed2022/pred.npy
46	FITS	tier2_ecg	SNR_5	ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_5/ECG/FITS/seed2022/pred.npy
47	FITS	tier2_ecg	SNR_6	ECG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_6/ECG/FITS/seed2022/pred.npy
